,title,price,city,datetime,nb_rooms,nb_baths,surface_area,equipement,link
546,Appartement à vendre 103 m² à Zerktouni Casablanca,980 000 DH,Casablanca,"10/28/2024, 2:07:26 PM",2,1,103,,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Zerktouni_Casablanca_55709025.htm
547,,,,,,,,,https://immoneuf.avito.ma/fr/unite/OVA?utm_source=avito_integration&utm_medium=listing_integration
548,Appartement à vendre 80 m² à Casablanca,1 000 000 DH,Casablanca,"10/28/2024, 1:33:49 PM",2,2,84,"Ascenseur, Concierge, Cuisine Équipée, Terrasse",https://www.avito.ma/fr/ben_m'sick/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Casablanca_55708851.htm
549,Appartement à vendre 170 m² à Casablanca,2 400 000 DH,Casablanca,"10/28/2024, 1:25:03 PM",3,3,170,"Ascenseur, Balcon, Concierge, Duplex, Parking, Sécurité",https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_Casablanca_55708798.htm
550,Appartement à vendre 161 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/28/2024, 10:28:48 AM",,,,,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_%C3%A0_vendre_161_m%C2%B2_%C3%A0_Casablanca_55510189.htm
551,CMN-MA-1776 - Appartement à vendre à Racine,3 200 000 DH,Casablanca,"10/28/2024, 9:34:44 AM",2,2,158,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/racine/appartements/CMN_MA_1776___Appartement_%C3%A0_vendre_%C3%A0_Racine_55707589.htm
552,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jXX?utm_source=avito_integration&utm_medium=listing_integration
553,CMN-SI-1651 - Appartement à vendre à Gauthier,3 100 000 DH,Casablanca,"10/28/2024, 9:34:11 AM",3,2,210,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/gauthier/appartements/CMN_SI_1651___Appartement_%C3%A0_vendre_%C3%A0_Gauthier_55707585.htm
554,Appartement à vendre 127 m² à Casablanca,1 250 000 DH,Casablanca,"10/28/2024, 8:47:43 AM",3,2,127,Parking,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Casablanca_55707380.htm
555,Appartement 125 m² à Casablanca,1 850 000 DH,Casablanca,"10/27/2024, 11:07:16 PM",3,2,125,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_125_m%C2%B2_%C3%A0_Casablanca_55706871.htm
556,Appartement à Casablanca,1 000 000 DH,Casablanca,"10/27/2024, 11:00:29 PM",1,13000,,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_Casablanca_55706829.htm
557,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jTO?utm_source=avito_integration&utm_medium=listing_integration
558,Appartement à vendre à Casablanca -Jnane Bernoussi,930 000 DH,Casablanca,"10/27/2024, 10:25:53 PM",3,2,102,"Ascenseur, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca__Jnane_Bernoussi_55706714.htm
559,Apartment à vendre à Maarif,PRIX NON SPÉCIFIÉ,Casablanca,"10/27/2024, 10:09:22 PM",,,,,https://www.avito.ma/fr/maarif/appartements/Apartment_%C3%A0_vendre_%C3%A0_Maarif_55706548.htm
560,Appartement à vendre 1 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/27/2024, 7:52:44 PM",,,,,https://www.avito.ma/fr/hay_moulay_rachid/appartements/Appartement_%C3%A0_vendre_1_m%C2%B2_%C3%A0_Casablanca_55706116.htm
561,Appartement à vendre 98 m² à Casablanca,96 DH,Casablanca,"10/27/2024, 4:57:41 PM",2,1,111,"Ascenseur, Balcon, Concierge, Parking, Terrasse",https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Casablanca_55705497.htm
562,,,,,,,,,https://immoneuf.avito.ma/fr/unite/j6J?utm_source=avito_integration&utm_medium=listing_integration
563,Appartement à vendre 98 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/27/2024, 4:23:17 PM",,,,,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Casablanca_55705286.htm
564,Appartement à vendre 86 m² à Casablanca,960 000 DH,Urgent,,3,2,86,Ascenseur,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Casablanca_53761953.htm
565,Appartement à vendre 60 m² à Casablanca,500 000 DH,Casablanca,"10/27/2024, 2:28:00 PM",2,1,60,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Casablanca_55704777.htm
566,Appartement à vendre 50 m² à Casablanca,300 000 DH,Casablanca,"10/27/2024, 1:55:00 PM",2,1,50,"Balcon, Terrasse",https://www.avito.ma/fr/hay_hassani/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55704609.htm
567,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jXf?utm_source=avito_integration&utm_medium=listing_integration
568,Appartement à vendre 69 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/27/2024, 1:44:07 PM",,,,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Casablanca_55704487.htm
569,Appartement à vendre 96 m² à Mohammedia,730 000 DH,Mohammedia,"10/27/2024, 10:58:21 AM",3,2,,"Balcon, Cuisine Équipée",https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Mohammedia_55671017.htm
570,Appartement à vendre 126 m² à Casablanca,1 660 000 DH,Casablanca,"10/27/2024, 10:39:36 AM",3,2,126,"Ascenseur, Balcon, Climatisation, Concierge, Sécurité",https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_126_m%C2%B2_%C3%A0_Casablanca_55579224.htm
571,,,,,,,,,https://immoneuf.avito.ma/fr/unite/Io6?utm_source=avito_integration&utm_medium=listing_integration
572,Appartement à vendre 150 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/27/2024, 8:48:01 AM",,,,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_%C3%A0_Casablanca_55703429.htm
573,Appartement 159 m² à Casablanca,2 780 000 DH,Casablanca,"10/27/2024, 7:33:14 AM",3,2,159,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/californie/appartements/Appartement_159_m%C2%B2_%C3%A0_Casablanca_54846058.htm
574,Appartement à vendre 65 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/27/2024, 2:32:08 AM",,,,,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Casablanca_55703310.htm
575,Appartement à vendre 130 m² à Casablanca,1 100 000 DH,Casablanca,"10/26/2024, 9:41:24 PM",3,2,,"Ascenseur, Balcon, Climatisation, Cuisine Équipée, Parking",https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Casablanca_55577941.htm
576,,,,,,,,,https://immoneuf.avito.ma/fr/unite/j2F?utm_source=avito_integration&utm_medium=listing_integration
577,Appartement à vendre 52 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/26/2024, 9:30:57 PM",,,,,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Casablanca_55702889.htm
578,Magnifique appartement Lunmineux à vendre 104 m²,1 290 000 DH,Casablanca,"10/26/2024, 4:31:03 PM",3,2,112,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Magnifique_appartement_Lunmineux_%C3%A0_vendre_104_m%C2%B2__55701887.htm
579,Appartement à vendre 127 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/26/2024, 3:13:46 PM",,,,,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Casablanca_55701584.htm
580,Appartement à vendre 64 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/26/2024, 3:04:37 PM",,,,,https://www.avito.ma/fr/hay_almassira_2/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_55701558.htm
581,,,,,,,,,https://immoneuf.avito.ma/fr/unite/j3k?utm_source=avito_integration&utm_medium=listing_integration
582,appartement,135 DH,Casablanca,"10/26/2024, 2:43:10 PM",2,2,115,"Balcon, Concierge, Terrasse",https://www.avito.ma/fr/beaus%C3%A9jour/appartements/appartement__55701476.htm
583,Appartement à vendre 54 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/26/2024, 2:15:29 PM",,,,,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_54_m%C2%B2_%C3%A0_Casablanca_55701362.htm
